Name,Sex,Team,NOC,Year,City,Type,Sport,Event,Medal,Sport ID,Type.1
Giovanni Abagnale,M,Italy,ITA,2016,Rio de Janeiro,Water Sports,Rowing,Rowing Men's Coxless Pairs,Bronze,52,Water Sports
Jos Gmez,M,Spain,ESP,2008,Beijing,Weapon Sports,Fencing,"Fencing Men's epee, Individual",Bronze,32,Weapon Sports
Patimat Abakarova,F,Azerbaijan,AZE,2016,Rio de Janeiro,Combat Sports,Taekwondo,Taekwondo Women's Flyweight,Bronze,64,Combat Sports
Mariya (-tarabina),F,Russia,RUS,2008,Beijing,Athletics,Athletics,Athletics Women's Javelin Throw,Silver,7,Athletics
Aleksey Abalmasov,M,Belarus,BLR,2008,Beijing,Water Sports,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,17,Water Sports
Luc Abalo,M,France,FRA,2008,Beijing,Team Ball Sports,Handball,Handball Men's Handball,Gold,37,Team Ball Sports
Luc Abalo,M,France,FRA,2012,London,Team Ball Sports,Handball,Handball Men's Handball,Gold,37,Team Ball Sports
Luc Abalo,M,France,FRA,2016,Rio de Janeiro,Team Ball Sports,Handball,Handball Men's Handball,Silver,37,Team Ball Sports
Jouan Etong,M,Cameroon,CMR,2000,Sydney,Team Ball Sports,Football,Football Men's Football,Gold,34,Team Ball Sports
Jos Plotas,M,Spain,ESP,1996,Atlanta,Team Ball Sports,Water Polo,Water Polo Men's Water Polo,Gold,71,Team Ball Sports
Stephen Abas,M,United States,USA,2004,Athina,Combat Sports,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,73,Combat Sports
Alejandro Garca,M,Spain,ESP,1980,Moskva,Other Traditional Sports,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold,55,Other Traditional Sports
Jos Gmez,M,Spain,ESP,1984,Los Angeles,Athletics,Athletics,"Athletics Men's 1,500 metres",Bronze,7,Athletics
Tamila Abasova,F,Russia,RUS,2004,Athina,Cycling Sports,Cycling,Cycling Women's Sprint,Silver,20,Cycling Sports
Pter Abay,M,Hungary,HUN,1992,Barcelona,Weapon Sports,Fencing,"Fencing Men's Sabre, Team",Silver,32,Weapon Sports
Oszkr Abay-nemes,M,Hungary,HUN,1936,Berlin,Water Sports,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,61,Water Sports
Silvano Abba,M,Italy,ITA,1936,Berlin,Other Traditional Sports,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze,46,Other Traditional Sports
Agostino Abbagnale,M,Italy,ITA,1988,Seoul,Water Sports,Rowing,Rowing Men's Quadruple Sculls,Gold,52,Water Sports
Agostino Abbagnale,M,Italy,ITA,1996,Atlanta,Water Sports,Rowing,Rowing Men's Double Sculls,Gold,52,Water Sports
Agostino Abbagnale,M,Italy,ITA,2000,Sydney,Water Sports,Rowing,Rowing Men's Quadruple Sculls,Gold,52,Water Sports
Carmine Abbagnale,M,Italy,ITA,1984,Los Angeles,Water Sports,Rowing,Rowing Men's Coxed Pairs,Gold,52,Water Sports
Carmine Abbagnale,M,Italy,ITA,1988,Seoul,Water Sports,Rowing,Rowing Men's Coxed Pairs,Gold,52,Water Sports
Carmine Abbagnale,M,Italy,ITA,1992,Barcelona,Water Sports,Rowing,Rowing Men's Coxed Pairs,Silver,52,Water Sports
George Abbot,M,Thessalonki-1,GRE,1906,Athina,Team Ball Sports,Football,Football Men's Football,Bronze,34,Team Ball Sports
Desmond Abbott,M,Australia,AUS,2008,Beijing,Team Ball Sports,Hockey,Hockey Men's Hockey,Bronze,38,Team Ball Sports
Margaret (-dunne),F,United States,USA,1900,Paris,Small Ball Sports,Golf,Golf Women's Individual,Gold,35,Small Ball Sports
Monica Abbott,F,United States,USA,2008,Beijing,Team Ball Sports,Softball,Softball Women's Softball,Silver,58,Team Ball Sports
Nia Abdallah,F,United States,USA,2004,Athina,Combat Sports,Taekwondo,Taekwondo Women's Featherweight,Silver,64,Combat Sports
Saeid Abdevali,M,Iran,IRI,2016,Rio de Janeiro,Combat Sports,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,73,Combat Sports
Reema Abdo,F,Canada,CAN,1984,Los Angeles,Water Sports,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,61,Water Sports
Lala Rashid,M,Pakistan,PAK,1960,Roma,Team Ball Sports,Hockey,Hockey Men's Hockey,Gold,38,Team Ball Sports
Muhammad Rashid,M,Pakistan,PAK,1964,Tokyo,Team Ball Sports,Hockey,Hockey Men's Hockey,Silver,38,Team Ball Sports
Zagalav Abdulbekov,M,Soviet Union,URS,1972,Munich,Combat Sports,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,73,Combat Sports
Mukhammad Abdullayev,M,Uzbekistan,UZB,2000,Sydney,Combat Sports,Boxing,Boxing Men's Light-Welterweight,Gold,13,Combat Sports
Namiq Abdullayev,M,Azerbaijan,AZE,1996,Atlanta,Combat Sports,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,73,Combat Sports
Namiq Abdullayev,M,Azerbaijan,AZE,2000,Sydney,Combat Sports,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,73,Combat Sports
Julius Abdur-rahim,M,United States,USA,2000,Sydney,Team Ball Sports,Basketball,Basketball Men's Basketball,Gold,10,Team Ball Sports
Yusup Abdusalomov,M,Tajikistan,TJK,2008,Beijing,Combat Sports,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,73,Combat Sports
Andrey Abduvaliyev,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics,Athletics Men's Hammer Throw,Gold,7,Athletics
Addis Abebe,M,Ethiopia,ETH,1992,Barcelona,Athletics,Athletics,"Athletics Men's 10,000 metres",Bronze,7,Athletics
Max Abegglen,M,Switzerland,SUI,1924,Paris,Team Ball Sports,Football,Football Men's Football,Silver,34,Team Ball Sports
Irene Abel,F,East Germany,GDR,1972,Munich,Gymnastics,Gymnastics,Gymnastics Women's Team All-Around,Silver,36,Gymnastics
Jennifer Abel,F,Canada,CAN,2012,London,Water Sports,Diving,Diving Women's Synchronized Springboard,Bronze,29,Water Sports
Egil Abel,M,Fornebo,NOR,1920,Antwerpen,Other Traditional Sports,Sailing,Sailing Mixed 7 metres,Silver,55,Other Traditional Sports
Abelardo Antua,M,Spain,ESP,1992,Barcelona,Team Ball Sports,Football,Football Men's Football,Gold,34,Team Ball Sports
Louis Abell,M,Vesper Boat Club,USA,1900,Paris,Water Sports,Rowing,Rowing Men's Coxed Eights,Gold,52,Water Sports
Louis Abell,M,Vesper Boat Club,USA,1904,St. Louis,Water Sports,Rowing,Rowing Men's Coxed Eights,Gold,52,Water Sports
Gezahgne Abera,M,Ethiopia,ETH,2000,Sydney,Athletics,Athletics,Athletics Men's Marathon,Gold,7,Athletics
Nils Berg,M,Sweden,SWE,1912,Stockholm,Athletics,Athletics,Athletics Men's Long Jump,Bronze,7,Athletics
Nils Berg,M,Sweden,SWE,1912,Stockholm,Athletics,Athletics,Athletics Men's Triple Jump,Silver,7,Athletics
Michael Abernathy,M,United States,USA,2000,Sydney,Team Ball Sports,Baseball,Baseball Men's Baseball,Gold,9,Team Ball Sports
Moira (-ford),F,South Africa,RSA,1956,Melbourne,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,61,Water Sports
Elvan Abeylegesse,F,Turkey,TUR,2008,Beijing,Athletics,Athletics,"Athletics Women's 5,000 metres",Silver,7,Athletics
Ismail (-nizamolu),M,Bulgaria,BUL,1980,Moskva,Combat Sports,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,73,Combat Sports
Edgar Ablowich,M,United States,USA,1932,Los Angeles,Athletics,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,7,Athletics
Denis Ablyazin,M,Russia,RUS,2012,London,Gymnastics,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,36,Gymnastics
Denis Ablyazin,M,Russia,RUS,2012,London,Gymnastics,Gymnastics,Gymnastics Men's Horse Vault,Silver,36,Gymnastics
Denis Ablyazin,M,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics,Gymnastics Men's Team All-Around,Silver,36,Gymnastics
Denis Ablyazin,M,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics,Gymnastics Men's Horse Vault,Silver,36,Gymnastics
Denis Ablyazin,M,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics,Gymnastics Men's Rings,Bronze,36,Gymnastics
Viktor Aboimov,M,Soviet Union,URS,1972,Munich,Water Sports,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,61,Water Sports
Viktor Aboimov,M,Soviet Union,URS,1972,Munich,Water Sports,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,61,Water Sports
Matthew Abood,M,Australia,AUS,2016,Rio de Janeiro,Water Sports,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,61,Water Sports
Alaaeldin Abouelkassem,M,Egypt,EGY,2012,London,Weapon Sports,Fencing,"Fencing Men's Foil, Individual",Silver,32,Weapon Sports
Attila Brahm,M,Hungary,HUN,1988,Seoul,Water Sports,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,17,Water Sports
Attila Brahm,M,Hungary,HUN,1988,Seoul,Water Sports,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,17,Water Sports
Attila Brahm,M,Hungary,HUN,1992,Barcelona,Water Sports,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,17,Water Sports
Gary Abraham,M,Great Britain,GBR,1980,Moskva,Water Sports,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,61,Water Sports
Ara Abrahamian,M,Sweden,SWE,2004,Athina,Combat Sports,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,73,Combat Sports
Harold Abrahams,M,Great Britain,GBR,1924,Paris,Athletics,Athletics,Athletics Men's 100 metres,Gold,7,Athletics
Harold Abrahams,M,Great Britain,GBR,1924,Paris,Athletics,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,7,Athletics
Isak Abrahamsen,M,Norway,NOR,1912,Stockholm,Gymnastics,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,36,Gymnastics
Erik Abrahamsson,M,Sweden,SWE,1920,Antwerpen,Athletics,Athletics,Athletics Men's Long Jump,Bronze,7,Athletics
Pavel Abramov,M,Russia,RUS,2004,Athina,Team Ball Sports,Volleyball,Volleyball Men's Volleyball,Bronze,70,Team Ball Sports
Nelli Abramova,F,Soviet Union,URS,1964,Tokyo,Team Ball Sports,Volleyball,Volleyball Women's Volleyball,Silver,70,Team Ball Sports
Alejandro Redondo,M,Spain,ESP,2016,Rio de Janeiro,Team Ball Sports,Basketball,Basketball Men's Basketball,Bronze,10,Team Ball Sports
Svetlana Abrosimova,F,Russia,RUS,2008,Beijing,Team Ball Sports,Basketball,Basketball Women's Basketball,Bronze,10,Team Ball Sports
Saypulla Absaidov,M,Soviet Union,URS,1980,Moskva,Combat Sports,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,73,Combat Sports
Julien Absalon,M,France,FRA,2004,Athina,Cycling Sports,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,20,Cycling Sports
Julien Absalon,M,France,FRA,2008,Beijing,Cycling Sports,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,20,Cycling Sports
Ahmad Abughaush,M,Jordan,JOR,2016,Rio de Janeiro,Combat Sports,Taekwondo,Taekwondo Men's Featherweight,Gold,64,Combat Sports
Ginko Abukawa-chiba,F,Japan,JPN,1964,Tokyo,Gymnastics,Gymnastics,Gymnastics Women's Team All-Around,Bronze,36,Gymnastics
Aleksandr Abushakhmetov,M,Soviet Union,URS,1980,Moskva,Weapon Sports,Fencing,"Fencing Men's epee, Team",Bronze,32,Weapon Sports
Magomedgasan Abushev,M,Soviet Union,URS,1980,Moskva,Combat Sports,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,73,Combat Sports
Andreea Acatrinei,F,Romania,ROU,2008,Beijing,Gymnastics,Gymnastics,Gymnastics Women's Team All-Around,Bronze,36,Gymnastics
Domingo Villanueva,M,Spain,ESP,1920,Antwerpen,Team Ball Sports,Football,Football Men's Football,Silver,34,Team Ball Sports
Anibl Acevedo,M,Puerto Rico,PUR,1992,Barcelona,Combat Sports,Boxing,Boxing Men's Welterweight,Bronze,13,Combat Sports
Daniel Villagrn,M,Mexico,MEX,1984,Los Angeles,Combat Sports,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,73,Combat Sports
Joachim Acheampong,M,Ghana,GHA,1992,Barcelona,Team Ball Sports,Football,Football Men's Football,Bronze,34,Team Ball Sports
Alfred Achermann,M,Switzerland,SUI,1984,Los Angeles,Cycling Sports,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver,20,Cycling Sports
Abdel Achik,M,Morocco,MAR,1988,Seoul,Combat Sports,Boxing,Boxing Men's Featherweight,Bronze,13,Combat Sports
Mohamed Achik,M,Morocco,MAR,1992,Barcelona,Combat Sports,Boxing,Boxing Men's Bantamweight,Bronze,13,Combat Sports
Chantal Achterberg,F,Netherlands,NED,2012,London,Water Sports,Rowing,Rowing Women's Coxed Eights,Bronze,52,Water Sports
Chantal Achterberg,F,Netherlands,NED,2016,Rio de Janeiro,Water Sports,Rowing,Rowing Women's Quadruple Sculls,Silver,52,Water Sports
Fausto (padovini-),M,Sweden,SWE,1920,Antwerpen,Gymnastics,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold,36,Gymnastics
Paul Ackerley,M,New Zealand,NZL,1976,Montreal,Team Ball Sports,Hockey,Hockey Men's Hockey,Gold,38,Team Ball Sports
Charles Ackerly,M,United States,USA,1920,Antwerpen,Combat Sports,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,73,Combat Sports
Lautaro Acosta,M,Argentina,ARG,2008,Beijing,Team Ball Sports,Football,Football Men's Football,Gold,34,Team Ball Sports
Osmay Duarte,M,Cuba,CUB,2008,Beijing,Combat Sports,Boxing,Boxing Men's Heavyweight,Bronze,13,Combat Sports
Martn Daz,M,Uruguay,URU,1952,Helsinki,Team Ball Sports,Basketball,Basketball Men's Basketball,Bronze,10,Team Ball Sports
Kazimierz Adach,M,Poland,POL,1980,Moskva,Combat Sports,Boxing,Boxing Men's Lightweight,Bronze,13,Combat Sports
Gordon Adam,M,United States,USA,1936,Berlin,Water Sports,Rowing,Rowing Men's Coxed Eights,Gold,52,Water Sports
Ji Adam,M,Czechoslovakia,TCH,1976,Montreal,Other Traditional Sports,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,46,Other Traditional Sports
Otto Adam,M,Germany,GER,1936,Berlin,Weapon Sports,Fencing,"Fencing Men's Foil, Team",Bronze,32,Weapon Sports
Pierre Adam,M,France,FRA,1948,London,Cycling Sports,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,20,Cycling Sports
Dariusz Adamczuk,M,Poland,POL,1992,Barcelona,Team Ball Sports,Football,Football Men's Football,Silver,34,Team Ball Sports
Benjamin Adams,M,United States,USA,1912,Stockholm,Athletics,Athletics,Athletics Men's Standing High Jump,Silver,7,Athletics
Benjamin Adams,M,United States,USA,1912,Stockholm,Athletics,Athletics,Athletics Men's Standing Long Jump,Bronze,7,Athletics
Edgar Adams,M,United States,USA,1904,St. Louis,Water Sports,Swimming,Swimming Men's Plunge For Distance,Silver,61,Water Sports
Harry Adams,M,United States,USA,1912,Stockholm,Weapon Sports,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold,56,Weapon Sports
Adrian Adams,M,Great Britain,GBR,1980,Moskva,Combat Sports,Judo,Judo Men's Lightweight,Silver,41,Combat Sports
Adrian Adams,M,Great Britain,GBR,1984,Los Angeles,Combat Sports,Judo,Judo Men's Half-Middleweight,Silver,41,Combat Sports
Nicola Adams,F,Great Britain,GBR,2012,London,Combat Sports,Boxing,Boxing Women's Flyweight,Gold,13,Combat Sports
Nicola Adams,F,Great Britain,GBR,2016,Rio de Janeiro,Combat Sports,Boxing,Boxing Women's Flyweight,Gold,13,Combat Sports
Platt Adams,M,United States,USA,1912,Stockholm,Athletics,Athletics,Athletics Men's Standing High Jump,Gold,7,Athletics
Platt Adams,M,United States,USA,1912,Stockholm,Athletics,Athletics,Athletics Men's Standing Long Jump,Silver,7,Athletics
Rachael Adams,F,United States,USA,2016,Rio de Janeiro,Team Ball Sports,Volleyball,Volleyball Women's Volleyball,Bronze,70,Team Ball Sports
Valerie (-price),F,New Zealand,NZL,2008,Beijing,Athletics,Athletics,Athletics Women's Shot Put,Gold,7,Athletics
Valerie (-price),F,New Zealand,NZL,2012,London,Athletics,Athletics,Athletics Women's Shot Put,Gold,7,Athletics
Valerie (-price),F,New Zealand,NZL,2016,Rio de Janeiro,Athletics,Athletics,Athletics Women's Shot Put,Silver,7,Athletics
Filip Adamski,M,Germany,GER,2012,London,Water Sports,Rowing,Rowing Men's Coxed Eights,Gold,52,Water Sports
Herbert Adamski,M,Germany,GER,1936,Berlin,Water Sports,Rowing,Rowing Men's Coxed Pairs,Gold,52,Water Sports
Jerzy Adamski,M,Poland,POL,1960,Roma,Combat Sports,Boxing,Boxing Men's Featherweight,Silver,13,Combat Sports
Eugene Addor,M,Switzerland,SUI,1920,Antwerpen,Weapon Sports,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze,56,Weapon Sports
Olubayo Adefemi,M,Nigeria,NGR,2008,Beijing,Team Ball Sports,Football,Football Men's Football,Silver,34,Team Ball Sports
Ademir Kaefer,M,Brazil,BRA,1984,Los Angeles,Team Ball Sports,Football,Football Men's Football,Silver,34,Team Ball Sports
Ademir Kaefer,M,Brazil,BRA,1988,Seoul,Team Ball Sports,Football,Football Men's Football,Silver,34,Team Ball Sports
Olapade Adeniken,M,Nigeria,NGR,1992,Barcelona,Athletics,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,7,Athletics
Adenzia Silva,F,Brazil,BRA,2012,London,Team Ball Sports,Volleyball,Volleyball Women's Volleyball,Gold,70,Team Ball Sports
Franck Adisson,M,France-1,FRA,1992,Barcelona,Water Sports,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze,17,Water Sports
Franck Adisson,M,France-1,FRA,1996,Atlanta,Water Sports,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold,17,Water Sports
Charles Adkins,M,United States,USA,1952,Helsinki,Combat Sports,Boxing,Boxing Men's Light-Welterweight,Gold,13,Combat Sports
Derrick Adkins,M,United States,USA,1996,Atlanta,Athletics,Athletics,Athletics Men's 400 metres Hurdles,Gold,7,Athletics
Robert Adlard,M,Great Britain,GBR,1948,London,Team Ball Sports,Hockey,Hockey Men's Hockey,Silver,38,Team Ball Sports
Daniel Adler,M,Brazil,BRA,1984,Los Angeles,Other Traditional Sports,Sailing,Sailing Mixed Three Person Keelboat,Silver,55,Other Traditional Sports
Egon Adler,M,Germany,GER,1960,Roma,Cycling Sports,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver,20,Cycling Sports
Margarete Adler,F,Austria,AUT,1912,Stockholm,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,61,Water Sports
Gregor Adlercreutz,M,Sweden,SWE,1936,Berlin,Equestrian,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze,31,Equestrian
Nils Adlercreutz,M,Sweden,SWE,1912,Stockholm,Equestrian,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,31,Equestrian
Anna Oelreich-),F,Sweden,SWE,1908,London,Racket Sports,Tennis,"Tennis Women's Singles, Covered Courts",Bronze,65,Racket Sports
Erik Adlerz,M,Sweden,SWE,1912,Stockholm,Water Sports,Diving,Diving Men's Platform,Gold,29,Water Sports
Erik Adlerz,M,Sweden,SWE,1912,Stockholm,Water Sports,Diving,Diving Men's Plain High,Gold,29,Water Sports
Erik Adlerz,M,Sweden,SWE,1920,Antwerpen,Water Sports,Diving,Diving Men's Platform,Silver,29,Water Sports
Rebecca Adlington,F,Great Britain,GBR,2008,Beijing,Water Sports,Swimming,Swimming Women's 400 metres Freestyle,Gold,61,Water Sports
Rebecca Adlington,F,Great Britain,GBR,2008,Beijing,Water Sports,Swimming,Swimming Women's 800 metres Freestyle,Gold,61,Water Sports
Rebecca Adlington,F,Great Britain,GBR,2012,London,Water Sports,Swimming,Swimming Women's 400 metres Freestyle,Bronze,61,Water Sports
Rebecca Adlington,F,Great Britain,GBR,2012,London,Water Sports,Swimming,Swimming Women's 800 metres Freestyle,Bronze,61,Water Sports
Dainius Adomaitis,M,Lithuania,LTU,2000,Sydney,Team Ball Sports,Basketball,Basketball Men's Basketball,Bronze,10,Team Ball Sports
Nathan Adrian,M,United States,USA,2008,Beijing,Water Sports,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,61,Water Sports
Nathan Adrian,M,United States,USA,2012,London,Water Sports,Swimming,Swimming Men's 100 metres Freestyle,Gold,61,Water Sports
Nathan Adrian,M,United States,USA,2012,London,Water Sports,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,61,Water Sports
Nathan Adrian,M,United States,USA,2012,London,Water Sports,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,61,Water Sports
Nathan Adrian,M,United States,USA,2016,Rio de Janeiro,Water Sports,Swimming,Swimming Men's 50 metres Freestyle,Bronze,61,Water Sports
Nathan Adrian,M,United States,USA,2016,Rio de Janeiro,Water Sports,Swimming,Swimming Men's 100 metres Freestyle,Bronze,61,Water Sports
Nathan Adrian,M,United States,USA,2016,Rio de Janeiro,Water Sports,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,61,Water Sports
Nathan Adrian,M,United States,USA,2016,Rio de Janeiro,Water Sports,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,61,Water Sports
Adriana Santos,F,Brazil,BRA,1996,Atlanta,Team Ball Sports,Basketball,Basketball Women's Basketball,Silver,10,Team Ball Sports
Adriana Santos,F,Brazil,BRA,2000,Sydney,Team Ball Sports,Basketball,Basketball Women's Basketball,Bronze,10,Team Ball Sports
Attila Adrovicz,M,Hungary,HUN,1996,Atlanta,Water Sports,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,17,Water Sports
Klaus Aeffke,M,Germany,GER,1964,Tokyo,Water Sports,Rowing,Rowing Men's Coxed Eights,Silver,52,Water Sports
Kseniya Afanasyeva,F,Russia,RUS,2012,London,Gymnastics,Gymnastics,Gymnastics Women's Team All-Around,Silver,36,Gymnastics
Olabisi Afolabi,F,Nigeria,NGR,1996,Atlanta,Athletics,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,7,Athletics
Felicia (-jitianu),F,Romania,ROU,1976,Montreal,Water Sports,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze,52,Water Sports
Cecil Afrika,M,South Africa,RSA,2016,Rio de Janeiro,Team Ball Sports,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,54,Team Ball Sports
Lavinia (-carney),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics,Gymnastics Women's Team All-Around,Gold,36,Gymnastics
Lavinia (-carney),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics,Gymnastics Women's Horse Vault,Bronze,36,Gymnastics
Luca Agamennoni,M,Italy,ITA,2004,Athina,Water Sports,Rowing,Rowing Men's Coxless Fours,Bronze,52,Water Sports
Luca Agamennoni,M,Italy,ITA,2008,Beijing,Water Sports,Rowing,Rowing Men's Quadruple Sculls,Silver,52,Water Sports
Andre Agassi,M,United States,USA,1996,Atlanta,Racket Sports,Tennis,Tennis Men's Singles,Gold,65,Racket Sports
Clarisse Agbegnenou,F,France,FRA,2016,Rio de Janeiro,Combat Sports,Judo,Judo Women's Half-Middleweight,Silver,41,Combat Sports
Henrik Agersborg,M,Stella-2,NOR,1920,Antwerpen,Other Traditional Sports,Sailing,Sailing Mixed 6 metres,Bronze,55,Other Traditional Sports
Viktor Ageyev,M,Soviet Union,URS,1956,Melbourne,Team Ball Sports,Water Polo,Water Polo Men's Water Polo,Bronze,71,Team Ball Sports
Viktor Ageyev,M,Soviet Union,URS,1960,Roma,Team Ball Sports,Water Polo,Water Polo Men's Water Polo,Silver,71,Team Ball Sports
Viktor Ageyev,M,Soviet Union,URS,1964,Tokyo,Team Ball Sports,Water Polo,Water Polo Men's Water Polo,Bronze,71,Team Ball Sports
Marilyn Agliotti,F,Netherlands,NED,2008,Beijing,Team Ball Sports,Hockey,Hockey Women's Hockey,Gold,38,Team Ball Sports
Marilyn Agliotti,F,Netherlands,NED,2012,London,Team Ball Sports,Hockey,Hockey Women's Hockey,Gold,38,Team Ball Sports
Yannick Agnel,M,France,FRA,2012,London,Water Sports,Swimming,Swimming Men's 200 metres Freestyle,Gold,61,Water Sports
Yannick Agnel,M,France,FRA,2012,London,Water Sports,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,61,Water Sports
Yannick Agnel,M,France,FRA,2012,London,Water Sports,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,61,Water Sports
Judit Goston-mendelnyi,F,Hungary,HUN,1964,Tokyo,Weapon Sports,Fencing,"Fencing Women's Foil, Team",Gold,32,Weapon Sports
Carlo Faini,M,Italy,ITA,1928,Amsterdam,Weapon Sports,Fencing,"Fencing Men's epee, Team",Gold,32,Weapon Sports
