Year,NOC,Sport,Medals,Host,Corrected_Medals
1924,153,24,10,1,10.0
1924,155,1,1,1,1.0
1924,165,8,2,1,2.0
1924,166,5,1,1,1.0
1924,173,11,1,1,1.0
1924,174,3,3,1,3.0
1924,194,55,25,1,25.0
1924,197,55,29,1,29.0
1924,201,11,10,1,10.0
1924,219,11,1,1,1.0
1924,220,60,99,1,99.0
1924,231,7,2,1,2.0
1928,9,38,7,1,7.0
1928,13,15,4,1,4.0
1928,14,16,4,1,4.0
1928,20,14,3,1,3.0
1928,37,15,15,1,15.0
1928,41,1,1,1,1.0
1928,56,13,9,1,9.0
1928,61,18,4,1,4.0
1928,65,5,1,1,1.0
1928,66,14,5,1,5.0
1928,70,18,25,1,25.0
1928,71,59,25,1,25.0
1928,76,38,22,1,22.0
1928,81,59,39,1,39.0
1928,89,1,1,1,1.0
1928,92,39,10,1,10.0
1928,94,11,1,1,1.0
1928,97,1,1,1,1.0
1928,102,52,20,1,20.0
1928,106,13,5,1,5.0
1928,125,0,1,1,1.0
1928,148,53,23,1,23.0
1928,153,14,4,1,4.0
1928,155,2,1,1,1.0
1928,161,12,1,1,1.0
1928,165,31,7,1,7.0
1928,166,13,1,1,1.0
1928,174,15,3,1,3.0
1928,194,26,17,1,17.0
1928,197,31,25,1,25.0
1928,201,18,9,1,9.0
1928,219,11,1,1,1.0
1928,220,28,56,1,56.0
1928,231,7,5,1,5.0
1932,9,3,4,1,4.0
1932,13,17,5,1,5.0
1932,14,19,5,1,5.0
1932,20,0,1,1,1.0
1932,37,23,16,1,16.0
1932,56,21,8,1,8.0
1932,65,8,1,1,1.0
1932,70,10,25,1,25.0
1932,71,48,20,1,20.0
1932,76,37,17,1,17.0
1932,81,57,24,1,24.0
1932,92,45,16,1,16.0
1932,94,11,1,1,1.0
1932,97,1,2,1,2.0
1932,102,42,36,1,36.0
1932,106,29,18,1,18.0
1932,116,1,1,1,1.0
1932,133,15,2,1,2.0
1932,148,28,8,1,8.0
1932,155,12,1,1,1.0
1932,161,15,3,1,3.0
1932,165,26,9,1,9.0
1932,174,15,5,1,5.0
1932,194,7,1,1,1.0
1932,197,32,24,1,24.0
1932,201,7,6,1,6.0
1932,219,12,1,1,1.0
1932,220,63,110,1,110.0
1936,9,23,7,1,7.0
1936,13,1,1,1,1.0
1936,14,45,17,1,17.0
1936,20,14,3,1,3.0
1936,37,26,9,1,9.0
1936,56,19,5,1,5.0
1936,61,4,5,1,5.0
1936,66,6,7,1,7.0
1936,70,10,20,1,20.0
1936,71,39,19,1,19.0
1936,76,38,14,1,14.0
1936,81,66,101,1,101.0
1936,92,51,16,1,16.0
1936,94,11,1,1,1.0
1936,102,50,27,1,27.0
1936,106,13,20,1,20.0
1936,116,3,2,1,2.0
1936,133,22,3,1,3.0
1936,148,40,17,1,17.0
1936,153,34,6,1,6.0
1936,155,1,1,1,1.0
1936,161,1,1,1,1.0
1936,165,31,9,1,9.0
1936,166,5,1,1,1.0
1936,173,5,1,1,1.0
1936,174,2,1,1,1.0
1936,194,56,18,1,18.0
1936,197,41,21,1,21.0
1936,201,25,9,1,9.0
1936,211,2,2,1,2.0
1936,220,43,57,1,57.0
1936,231,7,1,1,1.0
1940,9,24,7,1,7.0
1940,13,15,13,1,13.0
1940,14,26,8,1,8.0
1940,20,19,7,1,7.0
1940,30,11,1,1,1.0
1940,37,13,4,1,4.0
1940,53,8,1,1,1.0
1940,56,50,22,1,22.0
1940,61,6,5,1,5.0
1940,65,5,1,1,1.0
1940,70,35,22,1,22.0
1940,71,47,32,1,32.0
1940,76,46,27,1,27.0
1940,92,46,27,1,27.0
1940,94,11,1,1,1.0
1940,96,4,1,1,1.0
1940,97,0,1,1,1.0
1940,102,42,31,1,31.0
1940,104,1,3,1,3.0
1940,111,6,2,1,2.0
1940,133,17,5,1,5.0
1940,148,39,16,1,16.0
1940,153,36,7,1,7.0
1940,158,1,2,1,2.0
1940,160,13,1,1,1.0
1940,165,2,2,1,2.0
1940,166,13,2,1,2.0
1940,168,2,1,1,1.0
1940,174,2,6,1,6.0
1940,190,1,1,1,1.0
1940,194,40,22,1,22.0
1940,197,56,46,1,46.0
1940,201,22,11,1,11.0
1940,209,4,1,1,1.0
1940,211,3,12,1,12.0
1940,219,12,2,1,2.0
1940,220,63,84,1,84.0
1940,231,12,2,1,2.0
1944,9,19,5,1,5.0
1944,13,20,11,1,11.0
1944,14,12,2,1,2.0
1944,20,15,4,1,4.0
1944,30,13,3,1,3.0
1944,33,2,1,1,1.0
1944,37,29,3,1,3.0
1944,41,5,2,1,2.0
1944,56,40,6,1,6.0
1944,61,2,1,1,1.0
1944,65,13,1,1,1.0
1944,70,43,22,1,22.0
1944,71,36,18,1,18.0
1944,76,42,11,1,11.0
1944,81,38,24,1,24.0
1944,92,54,42,1,42.0
1944,94,13,2,1,2.0
1944,96,6,7,1,7.0
1944,97,2,1,1,1.0
1944,102,38,21,1,21.0
1944,104,1,5,1,5.0
1944,106,21,8,1,8.0
1944,111,6,2,1,2.0
1944,122,2,2,1,2.0
1944,125,1,1,1,1.0
1944,133,12,1,1,1.0
1944,148,24,5,1,5.0
1944,153,21,5,1,5.0
1944,155,13,3,1,3.0
1944,165,21,4,1,4.0
1944,166,8,1,1,1.0
1944,173,15,4,1,4.0
1944,174,18,10,1,10.0
1944,194,38,14,1,14.0
1944,197,59,35,1,35.0
1944,201,22,13,1,13.0
1944,209,4,2,1,2.0
1944,211,2,3,1,3.0
1944,218,50,70,1,70.0
1944,219,23,2,1,2.0
1944,220,56,76,1,76.0
1944,223,1,1,1,1.0
1944,231,23,3,1,3.0
1948,9,6,2,1,2.0
1948,13,26,35,1,35.0
1948,14,12,2,1,2.0
1948,16,8,1,1,1.0
1948,20,10,2,1,2.0
1948,30,1,1,1,1.0
1948,33,13,5,1,5.0
1948,37,30,6,1,6.0
1948,41,3,4,1,4.0
1948,56,25,4,1,4.0
1948,70,43,15,1,15.0
1948,71,35,14,1,14.0
1948,76,44,24,1,24.0
1948,81,41,26,1,26.0
1948,83,1,1,1,1.0
1948,92,46,26,1,26.0
1948,94,11,1,1,1.0
1948,96,6,5,1,5.0
1948,97,3,5,1,5.0
1948,99,1,1,1,1.0
1948,102,47,25,1,25.0
1948,106,21,17,1,17.0
1948,111,6,2,1,2.0
1948,133,12,2,1,2.0
1948,153,1,3,1,3.0
1948,155,9,2,1,2.0
1948,157,11,1,1,1.0
1948,165,27,9,1,9.0
1948,173,34,13,1,13.0
1948,174,17,4,1,4.0
1948,194,5,1,1,1.0
1948,197,48,19,1,19.0
1948,201,24,6,1,6.0
1948,211,2,7,1,7.0
1948,218,58,98,1,98.0
1948,219,11,1,1,1.0
1948,220,51,74,1,74.0
1948,231,12,3,1,3.0
1952,9,10,2,1,2.0
1952,13,20,22,1,22.0
1952,14,25,2,1,2.0
1952,20,12,4,1,4.0
1952,30,23,2,1,2.0
1952,33,9,7,1,7.0
1952,37,12,1,1,1.0
1952,56,31,6,1,6.0
1952,65,11,1,1,1.0
1952,67,1,1,1,1.0
1952,70,35,5,1,5.0
1952,71,20,5,1,5.0
1952,76,37,20,1,20.0
1952,81,44,42,1,42.0
1952,82,2,1,1,1.0
1952,83,8,1,1,1.0
1952,92,51,21,1,21.0
1952,94,11,1,1,1.0
1952,96,6,4,1,4.0
1952,98,4,1,1,1.0
1952,102,66,36,1,36.0
1952,106,38,18,1,18.0
1952,128,1,1,1,1.0
1952,133,12,1,1,1.0
1952,148,12,3,1,3.0
1952,153,8,1,1,1.0
1952,155,1,3,1,3.0
1952,157,13,2,1,2.0
1952,165,32,21,1,21.0
1952,166,8,1,1,1.0
1952,173,35,10,1,10.0
1952,174,3,3,1,3.0
1952,182,4,1,1,1.0
1952,194,38,6,1,6.0
1952,197,15,6,1,6.0
1952,201,22,8,1,8.0
1952,208,1,1,1,1.0
1952,211,2,9,1,9.0
1952,214,2,2,1,2.0
1952,218,66,103,1,103.0
1952,220,56,71,1,71.0
1952,223,13,1,1,1.0
1952,227,1,2,1,2.0
1952,231,13,2,1,2.0
1956,9,5,1,1,1.0
1956,13,34,18,1,18.0
1956,16,8,1,1,1.0
1956,20,4,3,1,3.0
1956,30,11,1,1,1.0
1956,33,15,10,1,10.0
1956,37,15,4,1,4.0
1956,53,1,1,1,1.0
1956,56,23,6,1,6.0
1956,67,1,1,1,1.0
1956,70,23,5,1,5.0
1956,71,36,15,1,15.0
1956,76,43,18,1,18.0
1956,81,62,50,1,50.0
1956,82,2,1,1,1.0
1956,92,58,22,1,22.0
1956,94,11,1,1,1.0
1956,96,2,2,1,2.0
1956,97,2,1,1,1.0
1956,102,43,27,1,27.0
1956,106,50,29,1,29.0
1956,108,1,1,1,1.0
1956,111,2,3,1,3.0
1956,133,2,1,1,1.0
1956,148,17,10,1,10.0
1956,151,2,1,1,1.0
1956,155,9,5,1,5.0
1956,157,11,1,1,1.0
1956,161,2,1,1,1.0
1956,165,31,23,1,23.0
1956,173,28,12,1,12.0
1956,194,19,4,1,4.0
1956,197,26,8,1,8.0
1956,201,53,14,1,14.0
1956,209,1,3,1,3.0
1956,210,3,2,1,2.0
1956,211,2,6,1,6.0
1956,218,66,93,1,93.0
1956,219,2,1,1,1.0
1956,220,56,90,1,90.0
1956,231,20,5,1,5.0
1960,9,14,2,1,2.0
1960,13,29,17,1,17.0
1960,14,21,4,1,4.0
1960,20,7,2,1,2.0
1960,30,11,3,1,3.0
1960,33,13,9,1,9.0
1960,37,17,5,1,5.0
1960,44,2,1,1,1.0
1960,53,3,4,1,4.0
1960,56,23,8,1,8.0
1960,67,1,2,1,2.0
1960,70,14,4,1,4.0
1960,71,44,15,1,15.0
1960,72,44,26,1,26.0
1960,76,41,13,1,13.0
1960,78,43,25,1,25.0
1960,83,2,1,1,1.0
1960,92,51,32,1,32.0
1960,94,11,1,1,1.0
1960,96,6,5,1,5.0
1960,102,39,16,1,16.0
1960,104,1,1,1,1.0
1960,106,25,25,1,25.0
1960,108,3,9,1,9.0
1960,111,2,2,1,2.0
1960,133,28,9,1,9.0
1960,134,2,4,1,4.0
1960,148,16,7,1,7.0
1960,153,20,2,1,2.0
1960,155,26,3,1,3.0
1960,157,11,1,1,1.0
1960,165,34,18,1,18.0
1960,173,28,15,1,15.0
1960,194,41,5,1,5.0
1960,197,11,4,1,4.0
1960,201,46,13,1,13.0
1960,208,1,1,1,1.0
1960,210,1,2,1,2.0
1960,211,2,2,1,2.0
1960,215,2,2,1,2.0
1960,218,63,91,1,91.0
1960,220,56,107,1,107.0
1960,223,2,1,1,1.0
1960,231,32,8,1,8.0
1964,9,12,1,1,1.0
1964,13,24,17,1,17.0
1964,14,26,3,1,3.0
1964,20,1,2,1,2.0
1964,30,3,2,1,2.0
1964,33,19,21,1,21.0
1964,37,20,5,1,5.0
1964,47,15,3,1,3.0
1964,53,14,8,1,8.0
1964,56,3,1,1,1.0
1964,65,2,1,1,1.0
1964,67,1,2,1,2.0
1964,70,24,8,1,8.0
1964,71,39,13,1,13.0
1964,72,59,40,1,40.0
1964,76,44,18,1,18.0
1964,78,61,66,1,66.0
1964,82,2,1,1,1.0
1964,83,10,2,1,2.0
1964,92,57,35,1,35.0
1964,94,11,1,1,1.0
1964,96,6,3,1,3.0
1964,102,37,18,1,18.0
1964,104,1,1,1,1.0
1964,106,32,29,1,29.0
1964,108,3,9,1,9.0
1964,111,2,1,1,1.0
1964,122,4,1,1,1.0
1964,133,2,1,1,1.0
1964,134,2,1,1,1.0
1964,148,17,5,1,5.0
1964,151,2,1,1,1.0
1964,152,2,1,1,1.0
1964,153,19,4,1,4.0
1964,155,13,3,1,3.0
1964,157,11,1,1,1.0
1964,165,46,21,1,21.0
1964,167,26,5,1,5.0
1964,173,39,16,1,16.0
1964,194,28,3,1,3.0
1964,197,45,16,1,16.0
1964,201,39,8,1,8.0
1964,210,1,1,1,1.0
1964,211,2,1,1,1.0
1964,215,3,2,1,2.0
1964,218,66,99,1,99.0
1964,220,52,94,1,94.0
1964,231,13,5,1,5.0
1968,13,36,5,1,5.0
1968,14,13,1,1,1.0
1968,20,9,6,1,6.0
1968,22,2,1,1,1.0
1968,30,9,2,1,2.0
1968,33,30,22,1,22.0
1968,37,18,11,1,11.0
1968,53,14,13,1,13.0
1968,56,11,3,1,3.0
1968,65,20,2,1,2.0
1968,70,15,6,1,6.0
1968,71,35,9,1,9.0
1968,72,51,39,1,39.0
1968,76,26,13,1,13.0
1968,78,61,90,1,90.0
1968,92,58,22,1,22.0
1968,96,6,2,1,2.0
1968,102,42,13,1,13.0
1968,104,1,2,1,2.0
1968,106,37,25,1,25.0
1968,111,13,6,1,6.0
1968,133,3,2,1,2.0
1968,134,2,1,1,1.0
1968,148,39,5,1,5.0
1968,153,12,2,1,2.0
1968,155,24,4,1,4.0
1968,157,11,1,1,1.0
1968,165,54,26,1,26.0
1968,166,14,2,1,2.0
1968,167,2,2,1,2.0
1968,168,2,1,1,1.0
1968,173,46,27,1,27.0
1968,194,20,4,1,4.0
1968,197,37,5,1,5.0
1968,201,39,8,1,8.0
1968,203,2,1,1,1.0
1968,209,1,1,1,1.0
1968,218,61,125,1,125.0
1968,220,63,94,1,94.0
1968,223,2,1,1,1.0
1968,231,25,8,1,8.0
1972,13,13,9,1,9.0
1972,14,26,4,1,4.0
1972,20,2,1,1,1.0
1972,30,21,4,1,4.0
1972,33,55,41,1,41.0
1972,53,20,20,1,20.0
1972,56,36,5,1,5.0
1972,65,32,6,1,6.0
1972,67,1,4,1,4.0
1972,70,36,8,1,8.0
1972,71,31,14,1,14.0
1972,76,15,21,1,21.0
1972,78,61,126,1,126.0
1972,83,10,3,1,3.0
1972,88,2,1,1,1.0
1972,92,57,32,1,32.0
1972,94,11,1,1,1.0
1972,97,10,2,1,2.0
1972,102,52,15,1,15.0
1972,104,4,3,1,3.0
1972,122,2,1,1,1.0
1972,133,17,4,1,4.0
1972,134,2,4,1,4.0
1972,148,15,3,1,3.0
1972,165,40,32,1,32.0
1972,167,6,5,1,5.0
1972,173,50,25,1,25.0
1972,194,5,2,1,2.0
1972,197,35,12,1,12.0
1972,200,1,2,1,2.0
1972,201,40,14,1,14.0
1972,215,2,1,1,1.0
1972,218,66,195,1,195.0
1972,223,2,1,1,1.0
1972,231,25,9,1,9.0
1972,233,11,1,1,1.0
1976,4,2,2,1,2.0
1976,13,41,24,1,24.0
1976,14,15,3,1,3.0
1976,20,15,4,1,4.0
1976,30,34,8,1,8.0
1976,37,50,44,1,44.0
1976,42,48,32,1,32.0
1976,43,1,1,1,1.0
1976,44,2,1,1,1.0
1976,47,13,1,1,1.0
1976,56,30,6,1,6.0
1976,59,2,1,1,1.0
1976,61,2,1,1,1.0
1976,65,32,5,1,5.0
1976,70,32,12,1,12.0
1976,71,57,28,1,28.0
1976,72,66,59,1,59.0
1976,76,56,37,1,37.0
1976,83,2,2,1,2.0
1976,97,1,1,1,1.0
1976,99,2,1,1,1.0
1976,102,54,32,1,32.0
1976,104,1,3,1,3.0
1976,106,40,31,1,31.0
1976,108,3,3,1,3.0
1976,111,26,19,1,19.0
1976,128,1,2,1,2.0
1976,133,6,6,1,6.0
1976,148,34,13,1,13.0
1976,151,3,2,1,2.0
1976,153,16,3,1,3.0
1976,155,27,11,1,11.0
1976,157,11,1,1,1.0
1976,160,13,1,1,1.0
1976,166,1,3,1,3.0
1976,168,2,2,1,2.0
1976,173,50,52,1,52.0
1976,194,36,8,1,8.0
1976,197,41,19,1,19.0
1976,199,2,1,1,1.0
1976,203,2,1,1,1.0
1976,208,4,1,1,1.0
1976,211,2,3,1,3.0
1976,220,66,173,1,173.0
1976,223,14,3,1,3.0
1976,231,25,18,1,18.0
1976,232,2,1,1,1.0
1980,1,8,1,1,1.0
1980,9,20,2,1,2.0
1980,13,38,14,1,14.0
1980,14,2,1,1,1.0
1980,20,15,2,1,2.0
1980,30,22,6,1,6.0
1980,33,48,35,1,35.0
1980,37,28,10,1,10.0
1980,41,13,1,1,1.0
1980,42,57,28,1,28.0
1980,47,2,1,1,1.0
1980,50,12,1,1,1.0
1980,56,23,4,1,4.0
1980,57,1,1,1,1.0
1980,65,42,4,1,4.0
1980,70,3,4,1,4.0
1980,71,41,16,1,16.0
1980,72,60,40,1,40.0
1980,76,52,24,1,24.0
1980,78,50,102,1,102.0
1980,83,2,1,1,1.0
1980,92,46,23,1,23.0
1980,93,13,1,1,1.0
1980,96,2,1,1,1.0
1980,101,8,1,1,1.0
1980,102,36,14,1,14.0
1980,104,1,2,1,2.0
1980,106,34,14,1,14.0
1980,108,3,9,1,9.0
1980,111,46,33,1,33.0
1980,128,3,3,1,3.0
1980,133,14,2,1,2.0
1980,134,2,1,1,1.0
1980,148,28,9,1,9.0
1980,153,46,5,1,5.0
1980,155,25,13,1,13.0
1980,157,2,1,1,1.0
1980,160,11,1,1,1.0
1980,161,2,1,1,1.0
1980,165,34,16,1,16.0
1980,166,1,1,1,1.0
1980,173,39,24,1,24.0
1980,180,1,1,1,1.0
1980,194,18,4,1,4.0
1980,195,12,1,1,1.0
1980,197,48,11,1,11.0
1980,201,25,8,1,8.0
1980,203,2,1,1,1.0
1980,211,6,2,1,2.0
1980,218,61,131,1,131.0
1980,220,71,94,1,94.0
1980,231,47,12,1,12.0
1984,4,3,2,1,2.0
1984,9,9,1,1,1.0
1984,13,49,27,1,27.0
1984,14,17,2,1,2.0
1984,16,1,1,1,1.0
1984,20,17,3,1,3.0
1984,30,25,3,1,3.0
1984,33,32,16,1,16.0
1984,37,26,18,1,18.0
1984,42,67,53,1,53.0
1984,47,1,1,1,1.0
1984,51,20,3,1,3.0
1984,53,31,31,1,31.0
1984,56,34,6,1,6.0
1984,65,66,22,1,22.0
1984,66,11,2,1,2.0
1984,67,1,3,1,3.0
1984,68,67,112,1,112.0
1984,70,28,5,1,5.0
1984,71,64,29,1,29.0
1984,76,50,20,1,20.0
1984,81,67,82,1,82.0
1984,82,11,1,1,1.0
1984,83,5,2,1,2.0
1984,92,42,30,1,30.0
1984,93,9,5,1,5.0
1984,95,13,3,1,3.0
1984,96,2,3,1,3.0
1984,97,2,2,1,2.0
1984,100,2,2,1,2.0
1984,102,50,19,1,19.0
1984,104,1,4,1,4.0
1984,106,46,22,1,22.0
1984,108,1,8,1,8.0
1984,111,47,28,1,28.0
1984,116,28,3,1,3.0
1984,124,12,2,1,2.0
1984,128,3,3,1,3.0
1984,129,9,1,1,1.0
1984,133,1,1,1,1.0
1984,134,15,2,1,2.0
1984,145,1,2,1,2.0
1984,148,42,15,1,15.0
1984,151,3,4,1,4.0
1984,153,46,7,1,7.0
1984,155,31,10,1,10.0
1984,157,11,1,1,1.0
1984,160,13,1,1,1.0
1984,161,2,1,1,1.0
1984,165,51,19,1,19.0
1984,167,22,9,1,9.0
1984,168,2,1,1,1.0
1984,169,1,1,1,1.0
1984,173,39,18,1,18.0
1984,174,10,2,1,2.0
1984,185,12,2,1,2.0
1984,194,9,1,1,1.0
1984,195,12,1,1,1.0
1984,197,48,12,1,12.0
1984,201,26,7,1,7.0
1984,203,2,1,1,1.0
1984,208,11,1,1,1.0
1984,211,6,6,1,6.0
1984,220,71,108,1,108.0
1988,4,3,3,1,3.0
1988,9,21,3,1,3.0
1988,10,2,2,1,2.0
1988,13,66,41,1,41.0
1988,14,14,3,1,3.0
1988,15,2,1,1,1.0
1988,16,1,1,1,1.0
1988,19,1,1,1,1.0
1988,20,22,6,1,6.0
1988,26,35,15,1,15.0
1988,30,39,15,1,15.0
1988,33,39,15,1,15.0
1988,37,29,22,1,22.0
1988,42,59,50,1,50.0
1988,50,12,1,1,1.0
1988,51,11,2,1,2.0
1988,53,43,25,1,25.0
1988,55,35,11,1,11.0
1988,56,43,6,1,6.0
1988,60,1,1,1,1.0
1988,65,41,17,1,17.0
1988,67,1,3,1,3.0
1988,70,15,4,1,4.0
1988,71,36,37,1,37.0
1988,76,33,15,1,15.0
1988,79,2,2,1,2.0
1988,81,64,65,1,65.0
1988,83,20,8,1,8.0
1988,90,8,1,1,1.0
1988,92,58,21,1,21.0
1988,93,9,4,1,4.0
1988,94,9,1,1,1.0
1988,96,2,3,1,3.0
1988,97,12,4,1,4.0
1988,100,8,1,1,1.0
1988,102,57,35,1,35.0
1988,104,1,6,1,6.0
1988,106,25,14,1,14.0
1988,107,27,11,1,11.0
1988,108,1,8,1,8.0
1988,111,43,27,1,27.0
1988,116,12,1,1,1.0
1988,124,11,1,1,1.0
1988,128,1,2,1,2.0
1988,129,9,2,1,2.0
1988,131,14,2,1,2.0
1988,133,1,1,1,1.0
1988,134,2,1,1,1.0
1988,141,1,1,1,1.0
1988,145,1,2,1,2.0
1988,148,41,19,1,19.0
1988,151,14,6,1,6.0
1988,153,32,7,1,7.0
1988,155,25,6,1,6.0
1988,161,2,1,1,1.0
1988,165,40,17,1,17.0
1988,166,9,2,1,2.0
1988,167,6,5,1,5.0
1988,168,2,1,1,1.0
1988,173,39,19,1,19.0
1988,174,13,5,1,5.0
1988,175,50,63,1,63.0
1988,179,24,4,1,4.0
1988,185,13,2,1,2.0
1988,194,27,7,1,7.0
1988,196,25,3,1,3.0
1988,197,47,8,1,8.0
1988,199,1,1,1,1.0
1988,202,2,1,1,1.0
1988,203,2,2,1,2.0
1988,208,9,1,1,1.0
1988,209,1,2,1,2.0
1988,210,2,1,1,1.0
1988,211,6,6,1,6.0
1988,215,1,1,1,1.0
1988,216,47,23,1,23.0
1988,220,71,101,1,101.0
1988,221,2,2,1,2.0
1988,232,1,1,1,1.0
1992,4,3,5,1,5.0
1992,9,19,4,1,4.0
1992,10,4,1,1,1.0
1992,13,75,58,1,58.0
1992,14,9,3,1,3.0
1992,15,15,3,1,3.0
1992,16,1,3,1,3.0
1992,18,1,1,1,1.0
1992,20,14,5,1,5.0
1992,26,47,17,1,17.0
1992,30,39,12,1,12.0
1992,33,39,13,1,13.0
1992,37,34,14,1,14.0
1992,41,11,1,1,1.0
1992,42,51,58,1,58.0
1992,44,11,1,1,1.0
1992,47,4,1,1,1.0
1992,50,12,2,1,2.0
1992,51,16,2,1,2.0
1992,53,39,29,1,29.0
1992,55,32,8,1,8.0
1992,56,54,6,1,6.0
1992,65,45,11,1,11.0
1992,66,3,3,1,3.0
1992,67,1,8,1,8.0
1992,70,24,4,1,4.0
1992,71,57,38,1,38.0
1992,76,53,28,1,28.0
1992,79,6,6,1,6.0
1992,81,68,56,1,56.0
1992,83,14,13,1,13.0
1992,92,57,17,1,17.0
1992,93,13,6,1,6.0
1992,94,4,1,1,1.0
1992,96,6,4,1,4.0
1992,97,1,1,1,1.0
1992,99,1,1,1,1.0
1992,100,12,1,1,1.0
1992,102,50,34,1,34.0
1992,104,1,9,1,9.0
1992,106,26,18,1,18.0
1992,107,6,7,1,7.0
1992,108,1,7,1,7.0
1992,109,2,1,1,1.0
1992,111,42,28,1,28.0
1992,113,6,2,1,2.0
1992,114,13,1,1,1.0
1992,116,10,3,1,3.0
1992,124,40,5,1,5.0
1992,128,3,5,1,5.0
1992,131,15,2,1,2.0
1992,133,19,6,1,6.0
1992,136,2,1,1,1.0
1992,141,1,1,1,1.0
1992,148,63,25,1,25.0
1992,151,5,3,1,3.0
1992,153,47,10,1,10.0
1992,155,25,4,1,4.0
1992,165,37,14,1,14.0
1992,166,3,2,1,2.0
1992,167,6,4,1,4.0
1992,169,4,1,1,1.0
1992,173,35,26,1,26.0
1992,174,13,5,1,5.0
1992,175,70,89,1,89.0
